ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
13,16,416,416,17.79,17.812,23.3839,23.3897,48
14,16,448,448,19.2744,19.2977,23.2433,23.2474,48
15,16,480,480,20.6805,20.7074,23.2103,23.2195,48
16,16,512,512,22.136,22.1606,23.1297,23.137,48
17,16,544,544,23.232,23.2608,23.416,23.4224,48
18,16,576,576,24.4478,24.4779,23.5604,23.567,48
19,16,608,608,25.3114,25.3434,24.0208,24.0267,48
20,16,640,640,26.2884,26.3213,24.3454,24.3573,48
21,16,672,672,27.056,27.0917,24.8374,24.8871,48
22,16,704,704,28.8813,30.8327,24.3779,24.4342,48
24,16,768,768,32.071,32.116,23.9468,23.9543,48
25,16,800,800,32.8478,32.8912,24.3547,24.3653,48
23,16,736,736,30.8815,41.6554,23.8791,24.0254,48
26,16,832,832,33.5844,33.6275,24.7734,24.7864,48
29,16,928,928,34.3061,34.3497,27.0506,27.0555,48
27,16,864,864,34.1909,34.2381,25.2699,25.2758,48
28,16,896,896,35.2963,35.3434,25.3851,25.3945,48
30,16,960,960,35.6576,44.6404,26.9519,27.0789,48
31,16,992,992,37.1268,37.1928,26.7193,26.7271,48
1,8,16,16,1.30124,1.30262,12.296,12.3006,48
32,16,1024,1024,38.6449,38.697,26.4977,26.5084,48
33,16,1056,1056,40.0125,40.6342,26.3919,26.4141,48
34,16,1088,1088,41.0198,41.0695,26.5238,26.5382,48
35,16,1120,1120,43.1088,43.1666,25.9808,25.9926,48
5,8,80,80,4.26996,4.2748,18.7355,18.7403,48
4,8,64,64,4.29624,4.30065,14.8968,14.9093,48
2,8,32,32,4.27079,4.29357,7.49281,7.53201,48
6,8,96,96,4.2674,4.28373,22.4961,22.5056,48
3,8,48,48,4.27811,4.28344,11.2199,11.2247,48
7,8,112,112,4.28161,4.28762,26.1584,26.1708,48
8,8,128,128,4.72798,4.73426,27.0729,27.0831,48
9,8,144,144,5.25238,5.25882,27.4161,27.4254,48
10,8,160,160,6.09875,6.10402,26.2349,26.2427,48
11,8,176,176,6.89004,6.89812,25.5441,25.549,48
12,8,192,192,7.78487,7.7922,24.6632,24.6678,48
13,8,208,208,8.7944,8.80594,23.6514,23.6572,48
14,8,224,224,9.78495,9.7963,22.8923,22.9004,48
15,8,240,240,10.5649,10.5793,22.7167,22.7222,48
16,8,256,256,11.1619,11.1823,22.9352,22.9455,48
17,8,272,272,11.9545,11.9685,22.753,22.7596,48
18,8,288,288,12.5172,12.5323,23.0084,23.0142,48
19,8,304,304,13.0619,13.0826,23.2737,23.2832,48
20,8,320,320,13.6979,13.713,23.3612,23.3683,48
21,8,336,336,14.2757,14.2949,23.5365,23.5456,48
22,8,352,352,14.9996,15.0193,23.4674,23.4783,48
23,8,368,368,15.777,15.7977,23.3251,23.3336,48
24,8,384,384,16.3934,16.4135,23.4241,23.436,48
25,8,400,400,16.8522,16.871,23.7358,23.7414,48
26,8,416,416,17.2499,17.2761,24.1161,24.1324,48
27,8,432,432,17.8131,17.8361,24.2518,24.2633,48
28,8,448,448,18.335,18.3574,24.4341,24.4425,48
29,8,464,464,18.8352,18.8598,24.6348,24.6413,48
30,8,480,480,19.8603,19.8837,24.1689,24.1747,48
31,8,496,496,20.3858,20.4179,24.3307,24.3353,48
1,4,8,8,1.12012,1.12577,7.1421,7.14559,48
32,8,512,512,21.0388,21.0655,24.336,24.3424,48
33,8,528,528,21.5227,21.5513,24.5322,24.539,48
