Operation,Size,Bandwidth_MBS,AvgTime,MinTime,MaxTime,DataType
Add,1.92e+09,147100,0.0132114,0.0130524,0.0144518,4
Triad,1.92e+09,147849,0.0132511,0.0129862,0.0146076,4
Copy,1.36e+09,133363,0.0103427,0.0101978,0.0113476,4
Scale,1.36e+09,131593,0.0104641,0.0103349,0.0114506,4
Add,2.04e+09,147204,0.0142251,0.0138583,0.0183284,4
Triad,2.04e+09,147802,0.0139682,0.0138022,0.0156114,4
Copy,1.44e+09,133023,0.0109114,0.0108252,0.0118189,4
Scale,1.44e+09,131946,0.0109926,0.0109135,0.0119978,4
Add,2.16e+09,147271,0.0148575,0.0146668,0.0162496,4
Triad,2.16e+09,147951,0.0147259,0.0145994,0.0158368,4
Copy,1.52e+09,132856,0.0115219,0.0114409,0.0122924,4
Scale,1.52e+09,131628,0.0116327,0.0115477,0.0127161,4
Add,2.28e+09,147240,0.015674,0.0154849,0.0170179,4
Triad,2.28e+09,147643,0.0156261,0.0154426,0.0169318,4
Copy,1.6e+09,132936,0.0121234,0.0120358,0.0128341,4
Scale,1.6e+09,131641,0.0123033,0.0121543,0.0133256,4
Add,2.4e+09,147540,0.0164563,0.0162668,0.0176314,4
Triad,2.4e+09,147869,0.016831,0.0162306,0.022546,4
Copy,1.68e+09,132677,0.0127353,0.0126623,0.0135345,4
Scale,1.68e+09,131640,0.0129096,0.0127621,0.0139417,4
Add,2.52e+09,147479,0.0174039,0.0170872,0.0203694,4
Triad,2.52e+09,147751,0.0171636,0.0170558,0.0183085,4
Copy,1.76e+09,132714,0.0133052,0.0132616,0.0134831,4
Scale,1.76e+09,131594,0.0135121,0.0133745,0.0145275,4
Add,2.64e+09,147383,0.0180511,0.0179125,0.0191298,4
Triad,2.64e+09,147980,0.0179754,0.0178402,0.0189767,4
Copy,1.84e+09,132700,0.0139948,0.0138659,0.0146634,4
Scale,1.84e+09,131731,0.0140661,0.0139678,0.0148497,4
Add,2.76e+09,147460,0.018914,0.0187169,0.0205557,4
Triad,2.76e+09,148109,0.0188,0.0186349,0.0197949,4
Copy,1.92e+09,132582,0.014569,0.0144816,0.0152891,4
Scale,1.92e+09,131805,0.0146446,0.014567,0.0155972,4
Add,2.88e+09,147252,0.0196774,0.0195584,0.0208667,4
Triad,2.88e+09,147950,0.0195874,0.0194661,0.02075,4
Copy,2e+09,132502,0.0151993,0.0150941,0.0159884,4
Scale,2e+09,131944,0.0152574,0.015158,0.0159885,4
Add,3e+09,147224,0.0204637,0.0203771,0.0217361,4
Triad,3e+09,148093,0.0207085,0.0202575,0.0258213,4
Copy,2.048e+09,132548,0.0155344,0.015451,0.0166005,4
Scale,2.048e+09,131828,0.0156792,0.0155354,0.0167449,4
Add,3.072e+09,147478,0.0209928,0.0208302,0.0222682,4
Triad,3.072e+09,147901,0.0208611,0.0207707,0.0217288,4
Copy,2.08e+09,132707,0.015757,0.0156737,0.0166266,4
Scale,2.08e+09,131742,0.0158685,0.0157884,0.0168355,4
Add,3.12e+09,147113,0.0212891,0.0212082,0.0222037,4
Triad,3.12e+09,147712,0.0213018,0.0211222,0.0224768,4
Copy,2.24e+09,132477,0.0171285,0.0169086,0.0200364,4
Scale,2.24e+09,131846,0.0170803,0.0169895,0.0178265,4
Add,3.36e+09,147221,0.0229897,0.0228228,0.024351,4
Triad,3.36e+09,147832,0.0229627,0.0227285,0.0243354,4
Copy,2.16e+09,132591,0.0164001,0.0162907,0.0172893,4
Scale,2.16e+09,131762,0.0165135,0.0163932,0.0173382,4
Add,3.24e+09,147308,0.0221276,0.0219947,0.023169,4
Triad,3.24e+09,147758,0.0220203,0.0219277,0.0233231,4
Copy,2.32e+09,132487,0.0175777,0.0175111,0.0183626,4
Scale,2.32e+09,131615,0.0176906,0.0176271,0.0184738,4
Add,3.48e+09,147399,0.0237914,0.0236093,0.0248997,4
Triad,3.48e+09,147857,0.0236246,0.0235362,0.0246059,4
Copy,2.4e+09,132488,0.0182493,0.0181149,0.019422,4
Scale,2.4e+09,131250,0.0184146,0.0182857,0.0191642,4
Add,3.6e+09,147237,0.0245937,0.0244503,0.0261983,4
Triad,3.6e+09,147846,0.024547,0.0243496,0.02592,4
Copy,2.8e+09,132371,0.0212295,0.0211527,0.0222482,4
Scale,2.8e+09,131717,0.0213374,0.0212577,0.0221538,4
Add,4.2e+09,147477,0.0285894,0.028479,0.0299228,4
Triad,4.2e+09,147917,0.0285627,0.0283942,0.0297383,4
Copy,3.2e+09,132258,0.0242726,0.0241952,0.0249573,4
Scale,3.2e+09,131644,0.0243871,0.024308,0.0252899,4
Add,4.8e+09,147405,0.032698,0.0325633,0.0341509,4
Triad,4.8e+09,147640,0.0327019,0.0325115,0.0338548,4
Copy,3.6e+09,132368,0.0272397,0.027197,0.0273952,4
